ts	phase	decision	why	evidence	result
2026-08-31T04:34:00+09:00	verification	Replay the recorded arXiv negative through the final active MCP policy.	The final selector must still turn evidence into distinct causal work after capability enforcement.	.audit/strong-strategy-replay.json	1 negative observation -> 2 content-distinct strategies -> evidence-prioritized next node
2026-08-31T04:35:00+09:00	verification	Run the complete repository regression suite.	The active MCP and supervisor changes touch lifecycle semantics shared by older gates and frontend state.	PYTHONDONTWRITEBYTECODE=1 venv/bin/python -m pytest -q -p no:cacheprovider	800 passed, 17 subtests passed
2026-08-31T04:45:00+09:00	audit	Fail closed on terminal receipt drift and missing adaptive authority.	Independent audit reproduced weak completion when canonical state was absent, receipt hashes were stale, the falsifier predicate changed, or a revise decision retained a live critic kill.	research_harness/thread_supervisor.py; research_harness/mcp_server.py	pre-generation goal is rebuilt; promoted strategy execution and five artifact hashes are required; frozen predicate and critic resolution are checked
2026-08-31T04:47:00+09:00	audit	Serialize active adaptive mutations and make every pause resumable.	Independent audit found first-pass state was not persisted, concurrent reservation was not serialized, capability recovery left a stale pause, and empty negative expansion rejected instead of pausing.	research_harness/mcp_server.py; tests/test_mcp_adaptive_search.py	cross-process writer lock, first-selection persistence, capability resume, and empty-negative pause covered
2026-08-31T04:49:00+09:00	verification	Run the complete repository regression suite after audit fixes.	Every audit fix changed lifecycle or gate semantics and required a fresh repository-wide result.	PYTHONDONTWRITEBYTECODE=1 venv/bin/python -m pytest -q -p no:cacheprovider	805 passed, 17 subtests passed
2026-08-31T04:58:00+09:00	audit	Re-derive terminal strength from typed execution evidence instead of trusting receipt labels.	A matching hash proves immutability relative to a receipt, not that the artifact is scientifically strong. The terminal verifier must validate schemas and recompute semantics.	research_harness/thread_supervisor.py; tests/test_thread_supervisor.py	strategy and experiment content IDs, supported worker evidence, real-holdout predicate, construct verdict, AC, and attestation are revalidated
2026-08-31T04:59:00+09:00	verification	Run the complete suite and recorded replay after semantic receipt hardening.	The stricter terminal verifier changes the only completion path and must preserve adaptive expansion.	full pytest; scripts/replay_adaptive_search.py	806 passed, 17 subtests passed; recorded negative still creates 2 strategies and evidence-prioritized work
2026-08-31T05:03:00+09:00	implementation	Bind declared Python jobs to an operator-owned CUDA interpreter and deterministic runner environment.	The live GPU experiment first resolved to the Torch-less repository venv, then exposed missing deterministic CUDA settings and excess CPU helper threads.	research_harness/runner/local_runner.py; settings.json; tests/test_runner_manifest.py	Conda PyTorch 2.5.1+cu121 selected; CUBLAS determinism enabled; CPU helper libraries limited to one thread; environment recorded in runner_result
2026-08-31T05:10:00+09:00	implementation	Use canonical runtime capabilities and route a verified adaptive promotion to terminal review before spending the remaining frontier.	Free-form capability prose blocked executable recovery strategies, and a strong promoted strategy plus real holdout was otherwise starved by queued low-value work.	research_harness/orchestrator/adaptive_search.py; research_harness/mcp_server.py; feasibility_envelope.json	Adaptive operational strategy selected, executed, and promoted; supported worker evidence and real holdout preempted further search
2026-08-31T05:18:00+09:00	live-verification	Accept the GPU research result only after unchanged-source external holdout, construct adversary, AC, and user-goal gates passed.	Development metrics alone were not sufficient for the requested strong result.	runs/threads/thread_gpu_strong_live	validation accuracy 0.894500 and macro-F1 0.895099; official-test accuracy 0.896800 and macro-F1 0.897193; minimum holdout margin +0.03899997; transfer_valid
2026-08-31T05:24:00+09:00	terminal	Finish rendered publication artifacts after the verified strong receipt instead of restarting search.	The supervisor terminal additionally requires rendered outputs and production_run_summary.json.	research_harness/mcp_server.py; runs/threads/thread_gpu_strong_live/production/publication	clean supervisor exit: accept_with_goal_achieved; paper, interactive summary, and slides rendered
2026-08-31T05:25:00+09:00	verification	Run the complete repository suite and re-derive terminal execution hashes after the live GPU terminal.	Runner, selector, promotion, terminal, and rendering changes span the active lifecycle.	PYTHONDONTWRITEBYTECODE=1 timeout 240 venv/bin/python -m pytest -q -p no:cacheprovider; thread_supervisor.is_terminal	812 passed, 17 subtests passed; terminal true; job manifest, runner result, and metrics receipt hashes all match
2026-08-31T05:27:00+09:00	independent-audit	Accept the final GPU terminal and implementation with no P0-P2 findings.	A separate model re-derived terminal status, all strong receipt hashes, runner evidence, and the byte-identical nine-file holdout binding.	independent_gpt55_audit	45 focused tests passed; terminal accept_with_goal_achieved; holdout margin +0.03899997; no P0-P2
